measurement_time,altitude
2128.28,86336
2128.35,85819
2128.42,86333
2128.49,86849
2128.56,86849
2128.63,86677
2128.7,87018
2128.77,86677
2129.4,87104
2129.47,85985
2129.54,85902
2129.61,86674
2129.68,86588
2129.75,86588
2129.82,87190
2129.89,86677
2129.96,86846
2130.59,85819
2130.66,85905
2130.73,86766
2130.8,86680
2130.87,86680
2130.94,86852
2131.01,87024
2131.08,86766
2131.71,86683
2131.78,86080
2131.85,85994
2131.92,86338
2131.99,86941
2132.06,86338
2132.13,86596
2132.2,86683
2132.83,86428
2132.9,86255
2132.97,85997
2133.04,86599
2133.11,86513
2133.18,86858
2133.25,86772
2133.32,86513
2133.95,86083
2134.02,85911
2134.09,85911
2134.16,86686
2134.23,86599
2134.3,86169
2134.37,86341
2134.44,86341
2134.51,86341
2135.14,86086
2135.21,85828
2135.28,86172
2135.35,86083
2135.42,86516
2135.49,86341
2135.56,86172
2135.63,86431
2136.26,85828
2136.33,85742
2136.4,86431
2136.47,86428
2136.54,86428
2136.61,86858
2136.68,86428
2136.75,86772
2137.38,86431
2137.45,85828
2137.52,85569
2137.59,86686
2137.66,86255
2137.73,86686
2137.8,86599
2137.87,86341
2138.5,86599
2138.57,85911
2138.64,86169
2138.71,86341
2138.78,86513
2138.85,86510
2138.92,86599
2138.99,86772
2139.69,85825
2139.76,85997
2139.83,86858
2139.9,86683
2139.97,86769
2140.04,86425
2140.11,86683
2140.18,86080
2140.81,85739
2140.88,85739
2140.95,86338
2141.02,86683
2141.09,86596
2141.16,86596
2141.23,85994
2141.3,86422
2141.93,85650
2142.0,85908
2142.07,85905
2142.14,86425
2142.21,85908
2142.28,85994
2142.35,86080
2142.42,86338
2143.05,86080
2143.12,85306
2143.19,85908
2143.26,86169
2143.33,86252
2143.4,86252
2143.47,86080
2143.54,86252
2144.17,86341
2144.24,85566
2144.31,85480
2144.38,86083
2144.45,86169
2144.52,86083
2144.59,85997
2144.66,86255
2144.73,86255
2145.36,84709
2145.43,85569
2145.5,86513
2145.57,86083
2145.64,86083
2145.71,86255
2145.78,85997
2145.85,85997
2146.48,85911
2146.55,85311
2146.62,86169
2146.69,86599
2146.76,86169
2146.83,86428
2146.9,86428
2146.97,86428
2147.6,86000
2147.67,85742
2147.74,86086
2147.81,86258
2147.88,86599
2147.95,86086
2148.02,86344
2148.09,86344
2148.72,86602
2148.79,85483
2148.86,85831
2148.93,86344
2149.0,86947
2149.07,86516
2149.14,86431
2149.21,86000
2149.84,86172
2149.91,85569
2149.98,85828
2150.05,86255
2150.12,86083
2150.19,85480
2150.26,86599
2150.33,85739
2150.96,86425
2151.03,85653
2151.1,85653
2151.17,86341
2151.24,86083
2151.31,86513
2151.38,86425
2151.45,86255
2151.52,86169
2152.15,85914
2152.22,85656
2152.29,86172
2152.36,86255
2152.43,86341
2152.5,85997
2152.57,86083
2152.64,86513
2153.27,85825
2153.34,85136
2153.41,85653
2153.48,86855
2153.55,86080
2153.62,86252
2153.69,86080
2153.76,85994
2154.39,85997
2154.46,85222
2154.53,85911
2154.6,86169
2154.67,86255
2154.74,86255
2154.81,86428
2154.88,85997
2155.51,85822
2155.58,85480
2155.65,85480
2155.72,86255
2155.79,86338
2155.86,86510
2155.93,86425
2156.0,85736
2156.7,85653
2156.77,85825
2156.84,86255
2156.91,86599
2156.98,85911
2157.05,86428
2157.12,85997
2157.19,85825
2157.82,85742
2157.89,85569
2157.96,85311
2158.03,86172
2158.1,86602
2158.17,86172
2158.24,86000
2158.31,85914
2158.94,85914
2159.01,85311
2159.08,85483
2159.15,86428
2159.22,86516
2159.29,85656
2159.36,86083
2159.43,86172
2160.06,86086
2160.13,85139
2160.2,86258
2160.27,85569
2160.34,86000
2160.41,85828
2160.48,86689
2160.55,86344
2161.18,86602
2161.25,85742
2161.32,85569
2161.39,86341
2161.46,86602
2161.53,86513
2161.6,86428
2161.67,86428
2162.3,86861
2162.37,86000
2162.44,85831
2162.51,86431
2162.58,86258
2162.65,86516
2162.72,86516
2162.79,86000
2163.49,85917
2163.56,85658
2163.63,86433
2163.7,86175
2163.77,86778
2163.84,86864
2163.91,86691
2163.98,86519
2164.61,85745
2164.68,85658
2164.75,86605
2164.82,86519
2164.89,86347
2164.96,86691
2165.03,85658
2165.1,86261
2174.69,85672
2175.53,86181
2175.6,86267
2175.67,86694
2175.74,86525
2175.81,86436
2176.37,86611
2176.44,85837
2176.51,86697
2176.58,86264
2176.65,86436
2176.72,86008
2176.79,86522
2176.86,86436
2177.49,85837
2177.56,85837
2177.63,86439
2177.7,86264
2177.77,86697
2177.84,86267
2177.91,86264
2177.98,86264
2178.61,86436
2178.68,86005
2178.75,86264
2178.82,86005
2178.89,86178
2178.96,86608
2179.03,86264
2179.1,86522
2180.29,86439
2180.36,85923
2180.43,85923
2180.5,86697
2180.57,86267
2180.64,86439
2180.71,86611
2180.78,86008
2181.41,86697
2181.48,85664
2181.55,85664
2181.62,86181
