measurement_time,x_axis,y_axis,z_axis
2128.3,-2,8,-3
2128.34,-2,7,-3
2128.38,-2,7,-3
2128.43,-2,7,-3
2128.47,-2,7,-3
2128.51,-2,7,-3
2128.55,-2,7,-3
2128.59,-2,7,-3
2128.63,-2,7,-3
2128.68,-2,7,-3
2129.42,-2,7,-3
2129.47,-2,7,-3
2129.51,-2,7,-3
2129.55,-2,7,-3
2129.59,-2,7,-3
2129.63,-2,7,-3
2129.67,-2,7,-3
2129.72,-2,7,-3
2129.76,-2,7,-3
2129.81,-2,7,-3
2130.58,-2,7,-3
2130.62,-2,7,-3
2130.66,-2,7,-3
2130.7,-2,7,-3
2130.74,-2,7,-3
2130.79,-2,7,-3
2130.83,-2,7,-3
2130.88,-2,7,-3
2130.92,-2,7,-3
2130.96,-2,7,-3
2131.71,-2,7,-3
2131.75,-2,7,-3
2131.79,-2,7,-3
2131.84,-2,7,-3
2131.88,-2,7,-3
2131.93,-2,7,-3
2131.97,-2,7,-3
2132.01,-2,7,-3
2132.05,-2,7,-3
2132.09,-2,7,-3
2132.83,-2,7,-3
2132.87,-2,7,-3
2132.92,-2,7,-3
2132.96,-2,7,-3
2133.01,-2,7,-3
2133.05,-2,7,-3
2133.09,-2,7,-3
2133.13,-2,7,-3
2133.18,-2,7,-3
2133.22,-2,7,-3
2133.98,-2,7,-3
2134.02,-2,7,-3
2134.07,-2,7,-3
2134.11,-2,7,-3
2134.15,-1,7,-3
2134.19,-2,7,-3
2134.24,-2,7,-3
2134.28,-2,7,-3
2134.32,-2,7,-3
2134.36,-2,7,-3
2135.15,-2,7,-3
2135.2,-2,7,-3
2135.25,-2,7,-3
2135.31,-2,7,-3
2135.36,-2,7,-3
2135.41,-2,7,-3
2135.46,-2,7,-3
2135.51,-2,7,-3
2135.57,-3,7,-3
2135.62,-2,7,-3
2136.26,-2,7,-3
2136.3,-2,7,-3
2136.35,-2,7,-3
2136.39,-2,7,-3
2136.43,-2,7,-3
2136.47,-2,6,-3
2136.51,-2,7,-3
2136.55,-2,7,-3
2136.59,-2,7,-3
2136.64,-2,7,-3
2137.4,-2,7,-3
2137.44,-2,7,-3
2137.48,-2,7,-3
2137.52,-2,7,-3
2137.56,-2,7,-3
2137.6,-3,7,-3
2137.64,-2,7,-3
2137.69,-2,7,-3
2137.73,-2,7,-3
2137.78,-2,7,-3
2138.52,-2,7,-3
2138.56,-2,7,-3
2138.6,-2,7,-3
2138.64,-2,7,-3
2138.68,-2,7,-3
2138.73,-2,7,-3
2138.77,-2,7,-3
2138.81,-2,7,-3
2138.86,-2,7,-3
2138.9,-2,7,-3
2139.66,-2,7,-3
2139.7,-2,7,-3
2139.74,-2,7,-3
2139.79,-2,7,-3
2139.83,-2,7,-3
2139.87,-2,7,-3
2139.92,-2,7,-3
2139.96,-2,7,-3
2140.0,-2,7,-3
2140.05,-2,7,-3
2140.8,-2,7,-3
2140.85,-2,7,-3
2140.89,-2,7,-3
2140.93,-2,7,-3
2140.98,-2,7,-3
2141.02,-2,7,-3
2141.06,-2,7,-3
2141.11,-3,7,-3
2141.15,-2,7,-3
2141.19,-2,7,-3
2141.93,-2,7,-3
2141.97,-2,7,-3
2142.02,-2,7,-3
2142.06,-2,7,-3
2142.1,-2,7,-3
2142.14,-2,7,-3
2142.19,-2,7,-3
2142.23,-2,7,-3
2142.27,-2,7,-3
2142.31,-2,7,-3
2143.05,-2,7,-3
2143.1,-2,7,-3
2143.14,-2,7,-3
2143.18,-2,7,-3
2143.23,-2,7,-3
2143.27,-2,7,-3
2143.31,-2,7,-3
2143.35,-2,7,-3
2143.39,-2,7,-3
2143.43,-2,7,-3
2144.2,-2,7,-3
2144.24,-2,7,-3
2144.29,-2,7,-3
2144.33,-2,7,-3
2144.37,-2,7,-3
2144.41,-3,7,-3
2144.45,-2,7,-2
2144.49,-2,7,-3
2144.53,-2,7,-3
2144.58,-2,7,-3
2145.35,-2,7,-3
2145.39,-2,7,-3
2145.43,-2,7,-3
2145.47,-2,7,-3
2145.51,-2,7,-3
2145.55,-2,7,-3
2145.59,-2,7,-3
2145.64,-2,7,-3
2145.68,-2,7,-3
2145.73,-2,7,-3
2146.47,-2,7,-3
2146.51,-2,7,-3
2146.55,-2,7,-3
2146.59,-2,7,-3
2146.63,-2,7,-3
2146.68,-2,7,-3
2146.72,-2,7,-3
2146.76,-2,7,-3
2146.81,-2,7,-3
2146.85,-2,7,-3
2147.6,-2,7,-3
2147.64,-2,7,-3
2147.68,-2,7,-3
2147.73,-2,7,-3
2147.77,-2,7,-3
2147.81,-2,7,-3
2147.86,-2,7,-3
2147.9,-2,7,-3
2147.94,-2,7,-3
2147.99,-2,7,-3
2148.74,-2,7,-3
2148.79,-2,7,-3
2148.83,-2,7,-3
2148.87,-2,7,-3
2148.92,-2,7,-3
2148.96,-2,7,-3
2149.0,-2,7,-3
2149.05,-2,7,-3
2149.09,-2,7,-3
2149.13,-2,7,-3
2149.87,-2,7,-3
2149.91,-2,7,-3
2149.95,-2,7,-3
2150.0,-2,7,-3
2150.04,-2,7,-3
2150.08,-2,7,-3
2150.13,-2,7,-3
2150.17,-2,7,-3
2150.21,-2,7,-3
2150.25,-2,7,-3
2150.98,-3,7,-3
2151.02,-3,7,-3
2151.07,-2,7,-3
2151.11,-2,7,-3
2151.15,-3,7,-2
2151.2,-2,7,-3
2151.24,-2,7,-3
2151.28,-2,7,-3
2151.32,-2,7,-3
2151.36,-3,7,-3
2152.15,-2,7,-3
2152.2,-2,7,-3
2152.26,-2,7,-3
2152.31,-2,7,-3
2152.36,-2,7,-3
2152.41,-2,7,-3
2152.46,-2,7,-3
2152.52,-2,7,-3
2152.57,-2,7,-3
2152.63,-2,7,-3
2153.29,-3,7,-3
2153.33,-4,7,-3
2153.37,-2,7,-3
2153.41,-2,7,-3
2153.45,-2,7,-3
2153.49,-3,7,-3
2153.53,-2,7,-3
2153.58,-2,7,-2
2153.62,-2,7,-3
2153.66,-2,7,-3
2154.41,-3,7,-3
2154.45,-2,7,-3
2154.49,-3,7,-3
2154.53,-3,7,-3
2154.57,-2,7,-3
2154.62,-2,7,-3
2154.66,-2,7,-3
2154.7,-2,7,-3
2154.74,-2,7,-3
2154.79,-2,7,-3
2155.53,-2,7,-3
2155.57,-2,7,-2
2155.61,-2,7,-3
2155.65,-2,7,-3
2155.7,-2,7,-3
2155.74,-2,6,-3
2155.78,-2,7,-3
2155.83,-2,7,-3
2155.87,-2,7,-3
