measurement_time,altitude
45070,362438
45071,362773
45072,363169
45073,363779
45074,381244
45075,390357
45076,407761
45077,415564
45078,415564
45079,779221
45080,779221
45081,779221
45082,779221
45083,779221
45085,3123377
45087,5600365
45088,5874410
45089,6089081
45090,6306708
45091,6507450
45092,6693256
45093,6865315
45094,7024756
45095,7171974
45096,7307092
45097,7430902
45098,7543312
45099,7644354
45100,7734117
45101,7813914
45103,7941686
45104,7990210
45106,8057418
45107,8075859
45109,8083479
45112,8042971
45113,8023738
45121,7846466
45129,7671938
45135,7538710
45136,7516917
45137,7494941
45138,7472629
45139,7450531
45140,7428890
45141,7407158
45143,7364364
45144,7342541
45146,7299564
45147,7278715
45148,7257562
45149,7236013
45150,7214677
45151,7193707
45152,7172279
45153,7150913
45154,7129973
45155,7108972
45156,7088185
45157,7067276
45158,7046519
45159,7026036
45166,6877782
45169,6813987
45172,6751869
45173,6731142
45175,6689750
45176,6669024
45177,6649029
45178,6628516
45179,6607576
45180,6587002
45181,6566550
45182,6545610
45183,6524305
45184,6503822
45185,6482974
45186,6461943
45187,6441277
45188,6420521
45189,6399581
45190,6379007
45191,6358646
45192,6338468
45193,6318352
45194,6298235
45195,6278027
45196,6257574
45197,6237305
45198,6217219
45199,6197163
45200,6177260
45203,6116757
45204,6095756
45205,6075304
45206,6054364
45208,6011814
45209,5991819
45210,5972282
45211,5952653
45212,5932871
45213,5913577
45217,5834695
45218,5815035
45221,5755691
45222,5735909
45223,5716646
45224,5697565
45225,5677906
45227,5639714
45228,5620512
45231,5561747
45233,5523159
45234,5503774
45235,5484084
45237,5442996
45238,5423063
45239,5403494
45240,5383804
45241,5364480
45242,5344790
45243,5325222
45244,5306019
45245,5286299
45246,5266304
45247,5246858
45248,5227472
45249,5208331
45250,5189403
45251,5170322
45253,5130881
45254,5111587
45255,5092172
45256,5072207
45257,5053249
45258,5033650
45259,5013990
45260,4995001
45261,4976195
45262,4956658
45263,4937333
45264,4917826
45265,4899020
45266,4879757
45268,4842083
45269,4823612
45270,4804532
45271,4785177
45272,4766523
45273,4748083
45274,4729673
45275,4711080
45276,4692487
45277,4673224
45278,4652833
45279,4632503
45280,4613453
45281,4594464
45282,4574408
45283,4554504
45284,4536003
45285,4518264
45286,4500281
45287,4482328
45288,4464101
45289,4445569
45290,4426031
45291,4407438
45292,4389333
45293,4371381
45294,4354129
45295,4336176
45296,4318437
45297,4300698
45298,4283354
45300,4248973
45301,4230746
45302,4211604
45304,4174449
45305,4156222
45306,4138148
45307,4120225
45308,4101968
45309,4083985
45310,4065758
45311,4047653
45312,4029121
45313,4010132
45314,3989832
45315,3973800
45317,3938016
45318,3919728
45319,3901257
45320,3883061
45321,3864742
45323,3827983
45324,3809939
45325,3792017
45326,3774491
45327,3756873
45328,3738890
45329,3719718
45332,3666835
45333,3649523
45334,3632484
45335,3613678
45336,3598103
45337,3580333
45339,3545556
45341,3510260
45342,3493038
45343,3476061
45344,3459114
45345,3441954
45346,3424550
45347,3407481
45348,3389772
45349,3372521
45350,3355635
45351,3338383
45352,3321802
45353,3304520
45354,3287298
45355,3270504
45356,3253618
45357,3236062
45359,3200309
45360,3183118
45362,3148523
45363,3130845
45364,3113380
45365,3096189
45366,3079151
45367,3062417
45370,3011485
45371,2993258
45372,2975305
45373,2958084
45374,2940588
45375,2923306
45376,2906024
45377,2888864
45378,2871826
45379,2854604
45380,2837566
45381,2820497
45383,2786878
45384,2770053
45385,2753228
45386,2736372
45387,2719974
45388,2703332
45389,2686568
45390,2669530
45391,2652492
45392,2635301
45393,2617927
45394,2600584
45395,2583180
45401,2479396
45402,2463058
45403,2446630
45404,2429622
45405,2412157
45406,2395301
45407,2379116
45408,2362505
45409,2345893
45410,2329221
45411,2312579
45413,2278624
45414,2261646
45415,2245309
45417,2212238
45418,2195962
45421,2145213
45422,2127870
45423,2110069
45425,2074560
45426,2055571
45427,2040666
45429,2008297
45430,1992295
45431,1975927
45433,1944289
45434,1928104
45435,1911675
45436,1894820
45437,1877690
45438,1861444
45439,1845594
45440,1829379
45441,1813408
45442,1797710
45443,1781739
45445,1748455
45446,1731386
45447,1714957
45448,1698986
45449,1682892
45450,1666524
45451,1650309
45452,1634490
45455,1583009
45456,1566489
45458,1533235
45459,1516837
45461,1485443
45462,1469380
45463,1453104
45464,1436309
45465,1418905
45466,1402202
45467,1385743
45468,1368735
45469,1351697
45470,1335542
45471,1319540
45472,1303081
45474,1272174
45475,1256050
45476,1240048
45477,1223955
45478,1207800
45479,1192378
45480,1177595
45481,1162020
45484,1114227
45485,1098438
45486,1082863
45487,1066373
45488,1049061
45491,998159
45493,964753
45494,947715
45495,931164
45496,914430
45497,897362
45498,880659
45499,863925
45500,847009
45501,830641
45502,814060
45503,796900
45504,779404
45505,770717
45506,764499
45508,751728
45509,745145
45510,738591
45512,724906
45513,717499
45514,710154
45515,702930
45517,688269
45518,681228
45519,674096
45520,666902
45521,659770
45522,652455
45523,644804
45524,637276
45525,629961
45526,622767
45527,615605
45528,608106
45529,600547
45530,593354
45531,586252
45532,579303
45533,572628
45534,565983
45535,559399
45536,553303
45537,547390
45538,541355
45539,535168
45540,529224
45541,523464
45542,517459
45543,511058
45545,497860
45546,491460
45548,477744
45549,471068
45551,459577
45552,453664
45553,447599
