measurement_time,x_axis,y_axis,z_axis
5283.0,0,0,0
5283.01,0,0,0
5283.02,0,0,0
5283.03,0,0,0
5283.04,0,0,0
5283.05,0,0,0
5283.06,0,0,0
5283.07,0,0,0
5283.08,0,0,0
5283.09,0,0,0
5283.1,0,0,0
5283.11,0,0,0
5283.12,0,0,0
5283.13,0,0,0
5283.14,0,0,0
5283.15,0,0,0
5283.16,0,0,0
5283.17,0,0,0
5283.18,0,0,0
5283.2,0,0,0
5283.22,0,0,0
5283.23,0,0,0
5283.24,0,0,0
5283.25,0,0,0
5283.26,0,0,0
5283.27,0,0,0
5283.28,0,0,0
5283.29,0,0,0
5283.3,0,0,0
5283.31,0,0,0
5283.32,0,0,0
5283.33,0,0,0
5283.34,0,0,0
5283.35,0,0,0
5283.359,0,0,0
5283.37,0,0,0
5283.38,0,0,0
5283.39,0,0,0
5283.4,0,0,0
5283.41,0,0,0
5283.42,0,0,0
5283.43,0,0,0
5283.44,0,0,0
5283.45,0,0,0
5283.46,0,0,0
5283.48,0,0,0
5283.49,0,0,0
5283.5,0,0,0
5283.51,0,0,0
5283.52,0,0,0
5283.53,0,0,0
5283.54,0,0,0
5283.55,0,0,0
5283.56,0,0,0
5283.57,0,0,0
5283.58,0,0,0
5283.59,1,0,0
5283.6,1,0,0
5283.61,2,0,0
5283.62,1,0,0
5283.63,1,0,0
5283.64,0,0,0
5283.65,1,0,0
5283.66,0,0,0
5283.67,0,0,0
5283.68,1,0,0
5283.69,0,0,0
5283.7,1,0,0
5283.72,2,0,0
5283.73,3,0,0
5283.75,5,0,0
5283.76,5,0,0
5283.77,4,0,0
5283.78,3,0,0
5283.79,4,0,0
5283.8,5,0,0
5283.81,5,0,0
5283.82,5,0,0
5283.83,5,0,0
5283.84,5,0,0
5283.85,5,0,0
5283.86,5,0,0
5283.87,5,0,0
5283.88,5,0,0
5283.89,5,0,0
5283.9,5,0,0
5283.91,6,0,0
5283.92,6,0,0
5283.93,6,0,0
5283.94,6,0,0
5283.95,6,0,0
5283.96,6,0,0
5283.97,7,0,0
5283.98,7,0,0
5283.99,7,0,0
5284.01,7,0,0
5284.02,7,0,0
5284.03,8,0,0
5284.04,8,0,1
5284.05,8,0,1
5284.06,8,0,1
5284.07,9,0,1
5284.08,9,0,1
5284.09,9,0,1
5284.1,9,0,1
5284.11,10,0,1
5284.12,10,0,1
5284.13,10,0,1
5284.14,11,0,1
5284.15,11,0,1
5284.16,12,0,1
5284.17,12,0,1
5284.18,12,0,1
5284.19,13,0,1
5284.2,13,0,1
5284.21,14,0,1
5284.22,14,0,1
5284.24,15,0,1
5284.25,15,0,1
5284.26,16,0,1
5284.28,17,0,1
5284.29,17,0,1
5284.3,18,0,1
5284.31,18,0,1
5284.32,19,0,1
5284.33,20,0,1
5284.34,20,0,1
5284.35,21,0,1
5284.36,22,0,1
5284.37,22,0,1
5284.38,23,0,1
5284.39,24,0,1
5284.4,24,0,1
5284.41,25,0,1
5284.42,26,0,1
5284.43,27,0,1
5284.44,27,0,1
5284.45,28,0,1
5284.46,29,0,0
5284.47,30,0,0
5284.48,30,0,0
5284.49,31,0,0
5284.5,32,0,0
5284.51,33,0,0
5284.52,34,0,0
5284.54,35,0,0
5284.55,36,0,0
5284.56,37,0,0
5284.57,38,0,0
5284.58,39,0,0
5284.59,40,0,0
5284.6,41,0,0
5284.61,41,0,0
5284.62,42,-1,0
5284.63,43,-1,0
5284.639,44,-1,0
5284.65,45,-1,0
5284.66,46,-1,0
5284.67,47,-1,1
5284.68,48,-1,1
5284.69,48,-1,1
5284.7,49,-1,1
5284.71,50,-1,1
5284.72,51,-1,1
5284.73,52,-1,1
5284.74,53,-1,1
5284.75,54,-1,1
5284.77,55,-1,1
5284.78,56,0,1
5284.79,57,0,1
5284.81,59,0,1
5284.82,60,0,1
5284.83,61,0,1
5284.84,62,0,1
5284.85,63,0,1
5284.86,64,-1,1
5284.87,66,-1,1
5284.88,67,-1,1
5284.89,68,-1,1
5284.9,69,-1,1
5284.91,70,-1,1
5284.92,70,-1,1
5284.93,71,-1,1
5284.94,72,-1,2
5284.95,73,-1,2
5284.96,73,-1,2
5284.97,74,-1,2
5284.98,75,-1,2
5284.99,75,-1,3
5285.0,76,-1,3
5285.01,77,-1,3
5285.02,78,-1,3
5285.03,79,0,3
5285.04,80,0,3
5285.05,81,0,3
5285.07,83,0,3
5285.08,84,0,3
5285.09,84,0,3
5285.1,85,0,3
5285.11,86,0,3
5285.12,86,0,3
5285.13,86,0,3
5285.14,86,-1,3
5285.15,87,0,3
5285.16,87,0,3
5285.17,87,-1,3
5285.18,88,-1,3
5285.19,88,0,3
5285.2,88,-1,3
5285.21,89,-1,3
5285.22,89,-1,3
5285.23,90,-1,4
5285.24,90,-1,4
5285.25,90,-1,4
5285.26,91,-1,4
5285.27,92,0,4
5285.29,92,0,4
5285.3,93,0,4
5285.31,93,0,4
5285.32,94,0,4
5285.34,96,0,4
5285.35,97,0,4
5285.36,97,0,3
5285.37,97,0,3
5285.38,98,0,3
5285.39,97,-1,3
5285.4,98,-1,4
5285.41,98,-1,4
5285.42,99,-1,4
5285.43,99,-1,5
5285.44,101,0,5
5285.45,101,-1,5
5285.46,102,0,5
5285.47,103,0,5
5285.48,103,0,5
5285.49,105,0,5
5285.5,105,0,5
5285.51,106,0,5
5285.52,107,0,4
5285.53,107,0,4
5285.54,107,0,4
5285.55,107,0,4
5285.56,108,0,4
5285.57,109,0,4
5285.58,108,0,4
5285.6,110,0,5
5285.61,111,0,5
5285.62,112,0,5
5285.63,113,0,5
5285.64,114,0,6
5285.65,115,0,5
5285.66,116,0,5
5285.67,116,0,5
5285.68,117,0,5
5285.69,118,0,5
5285.7,118,0,5
5285.71,118,0,5
5285.72,118,0,5
5285.73,120,0,5
5285.74,121,0,5
5285.75,121,0,5
5285.76,122,0,5
5285.77,123,0,5
5285.78,124,0,5
5285.79,125,0,5
5285.81,126,0,5
5285.82,126,1,5
5285.83,127,1,5
5285.84,128,0,5
5285.85,128,0,5
5285.87,130,1,5
5285.88,131,1,5
5285.89,132,1,5
5285.9,133,0,5
5285.91,132,0,5
5285.919,133,0,5
5285.93,133,0,6
5285.94,134,1,6
5285.95,135,1,6
5285.96,136,1,6
5285.97,136,1,6
5285.98,137,1,6
5285.99,138,1,6
5286.0,139,1,6
5286.01,140,1,6
5286.02,141,1,6
5286.03,144,2,6
5286.04,145,2,6
5286.05,147,2,6
5286.06,148,2,5
5286.07,150,1,5
5286.08,151,1,5
5286.09,153,1,5
5286.1,154,2,5
5286.11,155,2,5
5286.13,158,2,5
5286.14,159,2,5
5286.15,160,2,5
5286.16,160,2,5
5286.17,161,2,5
5286.18,162,3,4
5286.19,163,2,4
5286.2,163,2,4
5286.21,163,2,4
5286.22,164,2,4
5286.23,164,2,4
5286.24,165,2,5
5286.25,165,2,5
5286.26,165,2,5
5286.27,165,3,5
5286.28,166,3,5
5286.29,166,3,4
5286.3,166,3,4
5286.31,166,3,4
5286.32,166,3,4
5286.34,164,2,4
5286.35,164,2,4
5286.36,163,1,4
5286.37,163,1,4
5286.38,163,1,4
5286.4,161,1,4
5286.41,160,1,4
5286.42,159,1,4
5286.43,158,1,3
5286.44,157,0,3
5286.45,156,1,3
5286.46,155,0,3
5286.47,154,0,3
5286.48,152,0,3
5286.49,151,0,3
5286.5,150,0,3
5286.51,149,0,3
5286.52,147,0,3
5286.53,147,0,3
5286.54,146,0,3
5286.55,145,-1,2
5286.559,143,-1,2
5286.57,142,-1,2
5286.58,141,-2,2
5286.59,141,-2,2
5286.6,140,-2,2
5286.61,138,-2,2
5286.62,137,-2,1
5286.63,135,-2,2
5286.64,135,-2,1
5286.66,134,-2,0
5286.67,132,-2,0
5286.68,131,-3,0
5286.69,131,-3,0
5286.7,130,-3,0
5286.71,127,-3,0
5286.72,127,-2,0
5286.73,127,-2,0
5286.74,125,-2,0
5286.75,125,-2,-1
5286.76,125,-2,-1
5286.77,123,-3,-1
5286.78,122,-3,-1
5286.79,122,-3,-1
5286.8,122,-2,-2
5286.81,122,-3,-2
5286.82,122,-2,-2
5286.83,121,-1,-2
5286.84,120,-2,-2
5286.86,120,-1,-2
5286.87,119,-1,-2
5286.88,119,-1,-2
5286.89,119,-1,-2
5286.9,118,0,-2
5286.91,117,-1,-2
5286.93,116,0,-2
5286.94,115,0,-2
5286.95,116,0,-2
5286.96,114,0,-2
5286.97,114,0,-2
5286.98,113,0,-2
5286.99,112,0,-2
5287.0,112,0,-2
5287.01,111,0,-2
5287.02,110,0,-2
5287.03,109,0,-2
5287.04,109,0,-1
5287.05,108,0,-1
5287.06,107,0,-1
5287.07,106,0,-1
5287.08,106,0,-1
5287.09,104,0,-1
5287.1,103,0,-2
5287.11,103,0,-1
5287.12,102,0,-1
5287.13,101,0,-1
5287.14,101,0,-1
5287.15,100,0,-1
5287.16,99,0,-1
5287.17,99,0,-1
5287.19,97,0,-1
5287.199,97,0,-2
5287.21,96,0,-1
5287.22,94,0,-2
5287.23,94,0,-1
5287.24,93,0,-1
5287.25,93,0,-1
5287.26,92,0,-1
5287.27,92,0,-1
5287.28,90,0,-1
5287.29,90,0,-1
5287.3,90,0,-1
5287.31,89,1,-1
5287.32,89,0,-1
5287.33,88,0,-1
5287.34,87,0,-1
5287.35,88,0,-1
5287.36,87,1,-1
5287.38,87,0,-1
5287.39,85,0,0
5287.4,84,0,0
5287.41,84,0,0
5287.42,84,0,0
5287.43,83,0,0
5287.44,82,0,-1
5287.46,81,0,0
5287.47,79,0,-1
5287.48,80,0,-1
5287.49,80,0,-1
5287.5,80,0,-1
5287.51,79,0,0
5287.52,80,0,0
5287.53,78,0,0
5287.54,79,0,0
5287.55,79,0,0
5287.56,79,0,0
5287.57,77,0,0
5287.58,76,0,-1
5287.59,78,1,0
5287.6,77,0,-1
5287.61,76,0,-1
5287.62,75,0,0
5287.63,75,0,-1
5287.64,76,0,-1
5287.65,77,0,-1
5287.66,76,0,0
5287.67,75,0,-1
5287.68,74,0,-1
5287.69,73,0,0
5287.7,73,1,-1
5287.72,73,0,0
5287.73,73,0,-1
5287.74,72,0,0
5287.75,72,1,-1
5287.76,71,0,0
5287.77,72,0,0
5287.78,72,0,-1
5287.79,71,0,0
5287.8,72,0,0
5287.81,71,0,0
5287.82,71,0,0
5287.83,71,0,0
5287.839,71,1,0
5287.85,70,0,0
5287.86,70,0,-1
5287.87,70,0,0
5287.88,70,0,0
5287.89,70,0,0
5287.91,69,0,-1
5287.92,69,0,0
5287.93,69,0,0
5287.94,67,0,0
5287.95,67,0,0
5287.96,67,0,0
5287.98,67,0,0
5287.99,67,-1,0
5288.0,68,0,0
5288.01,68,0,0
5288.02,68,1,-1
5288.03,67,0,-1
5288.04,66,0,-1
5288.05,67,0,-1
5288.06,69,0,-1
5288.07,66,0,0
5288.08,67,0,0
5288.09,68,1,-1
5288.1,65,0,0
5288.11,66,0,0
5288.12,66,0,-1
5288.13,65,0,0
5288.14,66,0,-1
5288.15,65,0,-1
5288.16,65,0,0
5288.17,65,0,0
5288.18,65,0,0
5288.19,65,-1,0
5288.2,64,0,0
5288.21,65,0,-1
5288.22,63,0,-1
5288.24,64,0,-1
5288.25,65,0,-1
5288.26,65,0,-1
5288.27,64,-1,-1
5288.28,64,0,-1
5288.29,64,0,-1
5288.3,65,0,-1
