measurement_time,latitude,longitude
45070,47.98684,-81.84848
45071,47.98684,-81.84848
45072,47.98684,-81.84847
45073,47.98684,-81.84846
45074,47.98684,-81.8484
45075,47.98687,-81.84805
45076,47.98694,-81.84751
45077,47.98697,-81.84732
45078,47.98697,-81.84732
45079,47.98682,-81.84686
45080,47.98682,-81.84686
45081,47.98682,-81.84686
45082,47.98682,-81.84686
45083,47.98682,-81.84686
45085,47.98423,-81.85212
45087,47.98077,-81.86114
45088,47.98039,-81.86188
45089,47.98006,-81.86256
45090,47.9797,-81.86321
45091,47.97934,-81.86378
45092,47.97901,-81.8644
45093,47.97868,-81.865
45094,47.97832,-81.86559
45095,47.97799,-81.86616
45096,47.97765,-81.86671
45097,47.97732,-81.86726
45098,47.97701,-81.86781
45099,47.97668,-81.86834
45100,47.97637,-81.86887
45101,47.97604,-81.86938
45103,47.97543,-81.8704
45104,47.97512,-81.8709
45106,47.9745,-81.87188
45107,47.97419,-81.87236
45109,47.97361,-81.87333
45112,47.97297,-81.87384
45113,47.97286,-81.87373
45121,47.97225,-81.87202
45129,47.97176,-81.87045
45135,47.97138,-81.86929
45136,47.97133,-81.86909
45137,47.97128,-81.86889
45138,47.97123,-81.8687
45139,47.97118,-81.86852
45140,47.97112,-81.86832
45141,47.97105,-81.86813
45143,47.97094,-81.86779
45144,47.97087,-81.86761
45146,47.97074,-81.86727
45147,47.97069,-81.8671
45148,47.97064,-81.86694
45149,47.97056,-81.86678
45150,47.97051,-81.86662
45151,47.97046,-81.86645
45152,47.97038,-81.86628
45153,47.9703,-81.86613
45154,47.97025,-81.86596
45155,47.97018,-81.86578
45156,47.97012,-81.86562
45157,47.97005,-81.86546
45158,47.96997,-81.86529
45159,47.96992,-81.86512
45166,47.96931,-81.86402
45169,47.969,-81.86356
45172,47.96872,-81.86309
45173,47.96861,-81.86295
45175,47.96838,-81.86266
45176,47.96828,-81.86252
45177,47.9682,-81.86237
45178,47.96808,-81.86224
45179,47.96798,-81.86209
45180,47.96787,-81.86194
45181,47.96777,-81.86181
45182,47.96767,-81.86166
45183,47.96756,-81.86152
45184,47.96746,-81.86137
45185,47.96738,-81.86124
45186,47.96728,-81.8611
45187,47.96718,-81.86095
45188,47.96708,-81.86082
45189,47.96698,-81.86069
45190,47.96687,-81.86055
45191,47.9668,-81.86042
45192,47.96667,-81.8603
45193,47.96657,-81.86017
45194,47.96649,-81.86004
45195,47.96636,-81.85992
45196,47.96626,-81.85981
45197,47.96616,-81.85967
45198,47.96605,-81.85955
45199,47.96595,-81.85944
45200,47.96585,-81.85931
45203,47.96552,-81.85895
45204,47.96539,-81.85883
45205,47.96529,-81.85871
45206,47.96518,-81.85859
45208,47.96495,-81.85836
45209,47.96485,-81.85825
45210,47.96472,-81.85813
45211,47.96462,-81.85802
45212,47.96449,-81.85791
45213,47.96439,-81.8578
45217,47.96393,-81.85737
45218,47.96383,-81.85725
45221,47.96349,-81.85691
45222,47.96339,-81.85679
45223,47.96329,-81.85667
45224,47.96319,-81.85656
45225,47.96309,-81.85643
45227,47.96288,-81.85618
45228,47.9628,-81.85606
45231,47.96255,-81.85565
45233,47.96237,-81.85535
45234,47.96229,-81.8552
45235,47.96222,-81.85506
45237,47.96206,-81.85474
45238,47.96198,-81.85459
45239,47.96188,-81.85445
45240,47.9618,-81.85429
45241,47.9617,-81.85413
45242,47.96162,-81.85398
45243,47.96152,-81.85384
45244,47.96142,-81.85368
45245,47.96135,-81.85352
45246,47.96124,-81.85338
45247,47.96114,-81.85323
45248,47.96104,-81.85308
45249,47.96096,-81.85294
45250,47.96086,-81.8528
45251,47.96075,-81.85265
45253,47.96055,-81.85235
45254,47.96045,-81.85221
45255,47.96035,-81.85205
45256,47.96024,-81.8519
45257,47.96017,-81.85175
