measurement_time,x_axis,y_axis,z_axis
5283.01,990,-68,-7
5283.02,987,-71,-6
5283.03,984,-76,-7
5283.04,989,-74,-7
5283.05,989,-81,-9
5283.06,985,-89,-11
5283.07,990,-81,-7
5283.08,987,-69,-15
5283.09,987,-67,-12
5283.1,984,-73,-15
5283.11,983,-67,-14
5283.12,985,-60,-14
5283.13,988,-62,-20
5283.14,989,-61,-17
5283.15,982,-68,-15
5283.16,991,-71,-19
5283.17,990,-72,-20
5283.18,988,-64,-21
5283.19,992,-71,-19
5283.21,989,-64,-21
5283.22,988,-71,-20
5283.23,994,-71,-25
5283.24,988,-62,-22
5283.25,994,-70,-18
5283.26,992,-64,-14
5283.28,988,-78,-23
5283.29,988,-81,-25
5283.3,993,-82,-22
5283.31,991,-85,-14
5283.32,999,-78,-37
5283.33,982,-73,-15
5283.34,992,-85,-26
5283.35,985,-78,-14
5283.359,984,-78,-35
5283.37,1038,-78,-28
5283.38,945,-66,-17
5283.39,893,-47,-42
5283.4,1078,-26,-23
5283.41,1002,-163,-102
5283.42,914,-148,147
5283.43,1059,-89,-139
5283.44,945,-72,15
5283.45,993,-29,-78
5283.46,973,-36,-5
5283.47,1019,-126,-120
5283.48,1016,-119,7
5283.49,941,-38,11
5283.5,1016,-30,-55
5283.51,1018,-76,-44
5283.52,1029,-121,-44
5283.54,1279,-53,-66
5283.55,4029,395,-491
5283.56,7414,608,81
5283.57,14832,-108,406
5283.58,16088,-251,29
5283.59,15035,675,-143
5283.6,14530,-169,327
5283.61,15028,451,187
5283.62,15069,349,272
5283.63,14877,0,146
5283.64,14638,198,526
5283.65,14652,55,8
5283.66,14814,-4,110
5283.67,14789,415,219
5283.68,14820,68,109
5283.69,14800,426,102
5283.7,14780,328,211
5283.71,14707,364,219
5283.72,14562,-7,146
5283.74,14647,-96,34
5283.75,14635,88,320
5283.76,14556,725,-186
5283.77,14527,-112,-45
5283.78,14484,200,-79
5283.79,14379,454,243
5283.81,14434,253,161
5283.82,14299,289,356
5283.83,14400,125,-263
5283.84,14309,351,432
5283.85,14319,209,-16
5283.86,14335,205,25
5283.87,14307,349,290
5283.88,14298,174,-18
5283.89,14275,273,178
5283.9,14290,270,228
5283.91,14340,175,27
5283.92,14299,324,254
5283.93,14307,215,57
5283.94,14319,234,89
5283.95,14310,290,163
5283.96,14340,200,53
5283.97,14316,301,172
5283.98,14290,244,114
5283.99,14312,248,94
5283.999,14281,329,184
5284.01,14303,218,47
5284.02,14330,308,162
5284.03,14276,272,160
5284.04,14319,235,72
5284.05,14349,292,210
5284.07,14356,283,115
5284.08,14335,245,202
5284.09,14356,245,92
5284.1,14334,268,186
5284.11,14358,215,172
5284.12,14328,261,133
5284.13,14312,245,184
5284.14,14365,235,75
5284.15,14385,251,154
5284.16,14396,232,162
5284.17,14409,226,104
5284.18,14440,255,191
5284.19,14413,217,134
5284.2,14480,266,116
5284.21,14466,252,167
5284.22,14508,232,111
5284.23,14496,255,132
5284.24,14513,197,243
5284.26,14540,211,208
5284.27,14533,223,159
5284.28,14485,237,226
5284.29,14488,208,187
5284.3,14530,183,111
5284.31,14541,230,171
5284.32,14521,179,97
5284.34,14449,267,204
5284.35,14450,213,120
5284.36,14413,223,293
5284.37,14468,167,63
5284.38,14500,206,204
5284.39,14468,169,183
5284.4,14482,149,70
5284.41,14465,251,225
5284.42,14524,235,161
5284.43,14485,250,104
5284.44,14493,286,225
5284.45,14514,99,155
5284.46,14465,215,218
5284.47,14487,162,153
5284.48,14489,189,172
5284.49,14491,214,117
5284.5,14502,205,66
5284.51,14493,203,226
5284.52,14511,114,150
5284.53,14528,225,160
5284.54,14537,147,142
5284.55,14548,158,101
5284.56,14495,274,173
5284.57,14587,161,35
5284.58,14555,213,117
5284.6,14623,125,28
5284.61,14610,207,185
5284.62,14633,145,85
5284.63,14641,150,96
5284.639,14645,216,83
5284.65,14686,108,28
5284.66,14655,171,74
5284.67,14690,153,110
5284.68,14749,189,-71
5284.69,14773,161,80
5284.7,14800,148,55
5284.71,14825,137,0
5284.72,14823,175,82
5284.73,14873,61,-45
5284.74,14839,165,54
5284.75,14895,112,-5
5284.76,14953,143,-114
5284.78,14937,185,91
5284.79,14969,26,-59
5284.8,14971,134,-58
5284.81,14962,126,-37
5284.82,14957,43,-36
5284.83,15012,83,-66
5284.84,15023,95,-169
5284.85,15005,63,-60
5284.87,15025,-8,-208
5284.88,15036,24,-122
5284.89,15046,48,-14
5284.9,15112,63,-243
5284.91,15053,34,-80
5284.92,15067,4,-208
5284.93,15072,53,-182
5284.94,15093,57,-204
5284.95,15094,35,-172
5284.96,15149,14,-178
5284.97,15108,56,-177
5284.98,15185,-40,-181
5284.99,15185,92,-290
5285.0,15171,-13,-182
5285.01,15143,-25,-217
5285.02,15148,41,-256
5285.03,15201,-62,-152
5285.04,15220,11,-311
5285.05,15234,-145,-117
5285.06,15283,-10,-408
5285.07,15219,-161,-112
5285.08,15232,-68,-261
5285.09,15262,-98,-404
5285.1,15229,-120,-192
5285.11,15241,6,-289
5285.13,15280,60,-301
5285.14,15283,-32,-269
5285.15,15266,178,-194
5285.16,15347,0,-454
5285.17,15311,-33,-203
5285.18,15345,-169,-360
5285.19,15324,-147,-190
5285.2,15406,-111,-427
5285.21,15347,-39,-263
5285.22,15352,-27,-193
5285.23,15378,-163,-393
5285.24,15365,-130,-168
5285.25,15386,-96,-300
5285.26,15395,-105,-496
5285.27,15397,-20,-298
5285.279,15401,-70,-243
5285.29,15430,107,-386
5285.31,15479,-128,-420
5285.32,15398,-219,-198
5285.33,15512,-27,-596
5285.34,15459,-222,-216
5285.35,15428,-203,-125
5285.36,15472,-157,-411
5285.37,15449,-133,-303
5285.38,15430,-182,-204
5285.4,15403,-108,-331
5285.41,15455,-164,-585
5285.42,15411,-126,-223
5285.43,15494,-209,-620
5285.44,15407,-202,-185
5285.45,15497,-208,-582
5285.46,15448,-194,-341
5285.47,15505,-283,-491
5285.48,15490,-327,-432
5285.49,15480,-241,-426
5285.5,15516,-175,-415
5285.51,15523,-229,-419
5285.52,15539,-258,-426
5285.53,15525,-178,-418
5285.54,15540,-231,-448
5285.55,15541,-196,-387
5285.56,15517,-272,-549
5285.57,15518,-138,-549
5285.58,15484,-179,-332
5285.59,15534,-216,-579
5285.6,15500,-241,-492
5285.61,15521,-342,-520
5285.62,15554,-346,-564
5285.63,15537,-216,-569
5285.64,15542,-414,-488
5285.66,15570,-431,-516
5285.67,15578,-410,-450
5285.68,15573,-233,-715
5285.69,15517,-364,-290
5285.7,15587,-310,-641
5285.71,15540,-323,-526
5285.72,15551,-396,-561
5285.73,15510,-326,-565
5285.74,15574,-271,-636
5285.75,15581,-433,-741
5285.76,15583,-283,-737
5285.77,15582,-419,-747
5285.78,15560,-315,-692
5285.79,15573,-346,-757
5285.8,15614,-510,-772
5285.82,15618,-372,-814
5285.83,15618,-351,-602
5285.84,15674,-472,-768
5285.85,15684,-379,-818
5285.86,15676,-416,-746
5285.87,15676,-439,-806
5285.88,15645,-421,-760
5285.89,15672,-284,-868
5285.9,15607,-511,-804
5285.91,15645,-446,-989
5285.93,15608,-314,-911
5285.94,15597,-329,-933
5285.95,15576,-422,-775
5285.96,15626,-569,-1406
5285.97,15515,-541,-625
5285.98,15485,-389,-989
5285.99,15485,-757,-858
5286.0,15337,-315,-803
5286.01,15333,-803,-703
5286.02,15284,-750,-883
5286.03,15248,-661,-941
5286.04,15195,-713,-827
5286.05,15155,-706,-1022
5286.06,15089,-736,-881
5286.07,15078,-759,-990
5286.08,15043,-729,-992
5286.09,15056,-792,-1199
5286.1,15039,-792,-1115
5286.11,15009,-702,-1046
5286.12,15019,-720,-1223
5286.13,14980,-735,-1120
5286.14,14990,-928,-1245
5286.15,15009,-939,-1284
5286.16,15014,-863,-1270
5286.17,14992,-961,-1353
5286.19,14971,-626,-1345
5286.2,14997,-820,-1343
5286.21,14954,-931,-1532
5286.22,14872,-670,-1434
5286.23,14932,-642,-1450
5286.24,14925,-878,-1472
5286.25,14893,-727,-1484
5286.26,14916,-713,-1652
5286.27,14888,-751,-1473
5286.28,14868,-744,-1509
5286.29,14885,-769,-1477
5286.3,14810,-797,-1451
5286.31,14815,-694,-1423
5286.32,14772,-739,-1360
5286.33,14763,-680,-1496
5286.35,14725,-554,-1347
5286.36,14770,-779,-1546
5286.37,14713,-829,-1637
5286.38,14677,-620,-1466
5286.39,14678,-656,-1422
5286.4,14690,-833,-1446
5286.41,14697,-878,-1405
5286.42,14647,-773,-1355
